Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA_50,EMA_50,SMA_20,UpperBand,LowerBand,Tomorrow,Target,TargetClass
1989-04-06,0.25738099217414856,0.25738099217414856,0.25738099217414856,0.25738099217414856,-125787.296875,0,54.16674772048707,-115475.90421875,-115508.84067784931,-128611.773828125,-120651.00578350987,-136572.54187274014,-127340.4609375,-1553.1640625,0
1989-04-07,0.26055899262428284,0.26055899262428284,0.26055899262428284,0.26055899262428284,-127340.4609375,0,45.68950921233048,-116089.31640625,-115972.82578607091,-128961.184375,-121972.76643297558,-135949.6023170244,-127146.3828125,194.078125,1
1989-04-10,0.26016199588775635,0.26016199588775635,0.26016199588775635,0.26016199588775635,-127146.3828125,0,48.64827430671507,-116691.0759375,-116411.0044929897,-129145.59921875,-122587.20297808466,-135703.99545941534,-128117.0234375,-970.640625,0
1989-04-11,0.26214799284935,0.26214799284935,0.26214799284935,0.26214799284935,-128117.0234375,0,46.08659285818027,-117281.19578125,-116870.06405944108,-129397.95078125,-123465.32897593715,-135330.57258656283,-129863.65625,-1746.6328125,0
1989-04-12,0.26572200655937195,0.26572200655937195,0.26572200655937195,0.26572200655937195,-129863.65625,0,52.47544439968137,-117820.83953125,-117379.61669436496,-129562.93984375,-123780.54414122028,-135345.33554627973,-129669.6953125,193.9609375,1
1989-04-13,0.26532500982284546,0.26532500982284546,0.26532500982284546,0.26532500982284546,-129669.6953125,0,52.94100703300588,-118372.12609375,-117861.58056174281,-129747.358984375,-124216.11549231729,-135278.6024764327,-128117.0234375,1552.671875,1
1989-04-14,0.26214799284935,0.26214799284935,0.26214799284935,0.26214799284935,-128117.0234375,0,56.363009032307154,-118830.2425,-118263.75479216466,-129766.7875,-124262.73974580763,-135270.83525419238,-134328.640625,-6211.6171875,0
1989-04-17,0.2748579978942871,0.2748579978942871,0.2748579978942871,0.2748579978942871,-134328.640625,0,46.96922574999466,-119443.65421875,-118893.75031502095,-130213.257421875,-124752.441654079,-135674.07318967098,-136657.828125,-2329.1875,0
1989-04-18,0.27962398529052734,0.27962398529052734,0.27962398529052734,0.27962398529052734,-136657.828125,0,44.92720104480981,-120041.53375,-119590.38081737308,-130717.955078125,-124828.31167834715,-136607.59847790285,-135881.296875,776.53125,1
1989-04-19,0.2780350148677826,0.2780350148677826,0.2780350148677826,0.2780350148677826,-135881.296875,0,41.53847820904579,-120561.7659375,-120229.24027061334,-131193.529296875,-125246.4316426104,-137140.6269511396,-130834.3046875,5046.9921875,1
1989-04-20,0.2677080035209656,0.2677080035209656,0.2677080035209656,0.2677080035209656,-130834.3046875,0,54.794874007284804,-121074.22796875,-120645.12514970695,-131193.529296875,-125246.4316426104,-137140.6269511396,-134716.671875,-3882.3671875,0
1989-04-21,0.2756519913673401,0.2756519913673401,0.2756519913673401,0.2756519913673401,-134716.671875,0,48.19286923438366,-121757.516875,-121196.95051148316,-131387.64765625,-125239.85879441057,-137535.4365180894,-138210.96875,-3494.296875,0
1989-04-24,0.2828019857406616,0.2828019857406616,0.2828019857406616,0.2828019857406616,-138210.96875,0,41.242994891608696,-122603.8715625,-121864.16691299363,-131756.480859375,-124903.76758729847,-138609.19413145154,-141316.890625,-3105.921875,0
1989-04-25,0.2891570031642914,0.2891570031642914,0.2891570031642914,0.2891570031642914,-141316.890625,0,35.483221820688705,-123481.2815625,-122627.0188232684,-132183.549609375,-124107.93687606075,-140259.1623426893,-139375.671875,1941.21875,1
1989-04-26,0.2851850092411041,0.2851850092411041,0.2851850092411041,0.2851850092411041,-139375.671875,0,29.41110459792211,-124374.22171875,-123283.82874686572,-132455.327734375,-123786.72038763679,-141123.9350811132,-140928.375,-1552.703125,0
1989-04-27,0.2883619964122772,0.2883619964122772,0.2883619964122772,0.2883619964122772,-140928.375,0,29.411515421124196,-125243.86140625,-123975.77173718472,-132921.203515625,-123476.89387702795,-142365.51315422205,-137822.53125,3105.84375,1
1989-04-28,0.28200700879096985,0.28200700879096985,0.28200700879096985,0.28200700879096985,-137822.53125,0,35.135095740179324,-125950.44375,-124518.78191415788,-133134.726953125,-123440.5685173462,-142828.88538890381,-137822.53125,0.0,0
1989-05-01,0.28200700879096985,0.28200700879096985,0.28200700879096985,0.28200700879096985,-137822.53125,0,36.11115769401649,-126556.08515625,-125040.49757438699,-133348.250390625,-123429.85857546623,-143266.64220578378,-143646.09375,-5823.5625,0
1989-05-02,0.2939229905605316,0.2939229905605316,0.2939229905605316,0.2939229905605316,-143646.09375,0,32.33785060951191,-127270.438125,-125770.12879696005,-133920.882421875,-123010.40721189976,-144831.35763185023,-149857.6875,-6211.59375,0
1989-05-03,0.30663299560546875,0.30663299560546875,0.30663299560546875,0.30663299560546875,-149857.6875,0,27.586085461894935,-128116.78265625,-126714.7389421773,-134872.0515625,-121961.07647993992,-147783.0266450601,-154128.65625,-4270.96875,0
1989-05-04,0.3153719902038574,0.3153719902038574,0.3153719902038574,0.3153719902038574,-154128.65625,0,22.76428789604799,-129048.5465625,-127789.79452287623,-136289.11953125,-121492.85049715498,-151085.38856534503,-154904.75,-776.09375,0
1989-05-05,0.31696000695228577,0.31696000695228577,0.31696000695228577,0.31696000695228577,-154904.75,0,25.688290023357773,-129949.2478125,-128853.12611021442,-137667.333984375,-121326.30265790777,-154008.36531084223,-153740.140625,1164.609375,1
1989-05-08,0.31457701325416565,0.31457701325416565,0.31457701325416565,0.31457701325416565,-153740.140625,0,29.245212096866364,-130881.003125,-129829.08746373543,-138997.021875,-121948.03672306844,-156046.00702693156,-154516.671875,-776.53125,0
1989-05-09,0.3161660134792328,0.3161660134792328,0.3161660134792328,0.3161660134792328,-154516.671875,0,27.358261323204392,-131820.52734375,-130797.22802888307,-140317.004296875,-122735.25180583123,-157898.7567879188,-153352.125,1164.546875,1
1989-05-10,0.3137829899787903,0.3137829899787903,0.3137829899787903,0.3137829899787903,-153352.125,0,19.791166423126015,-132639.70171875,-131681.73379245627,-141491.427734375,-123712.86538492853,-159269.99008382147,-154128.65625,-776.53125,0
1989-05-11,0.3153719902038574,0.3153719902038574,0.3153719902038574,0.3153719902038574,-154128.65625,0,21.590351439248526,-133361.825,-132562.00526137956,-142714.37578125,-124994.91740258975,-160433.83415991027,-158399.0625,-4270.40625,0
1989-05-12,0.3241100013256073,0.3241100013256073,0.3241100013256073,0.3241100013256073,-158399.0625,0,21.110780191700723,-134153.82359375,-133575.22319230586,-144228.477734375,-126585.95832731266,-161870.9971414373,-164222.75,-5823.6875,0
1989-05-15,0.33602601289749146,0.33602601289749146,0.33602601289749146,0.33602601289749146,-164222.75,0,19.587234054912372,-135000.1796875,-134777.08698868603,-145723.183203125,-126608.24502566106,-164838.1213805889,-167716.59375,-3493.84375,0
1989-05-16,0.3431749939918518,0.3431749939918518,0.3431749939918518,0.3431749939918518,-167716.59375,0,13.86093399519187,-135939.70578125,-136068.83235187482,-147276.121484375,-126305.6851967531,-168246.55777199692,-170045.78125,-2329.1875,0
1989-05-17,0.34794101119041443,0.34794101119041443,0.34794101119041443,0.34794101119041443,-170045.78125,0,13.591779286759817,-136949.10828125,-137401.26172042877,-148984.345703125,-126416.96836663295,-171551.72303961706,-173928.171875,-3882.390625,0
1989-05-18,0.35588499903678894,0.35588499903678894,0.35588499903678894,0.35588499903678894,-173928.171875,0,5.713764420388265,-138059.45140625,-138833.68956962763,-151139.0390625,-127657.68083476482,-174620.39729023518,-181304.90625,-7376.734375,0
1989-05-19,0.3709790110588074,0.3709790110588074,0.3709790110588074,0.3709790110588074,-181304.90625,0,4.838228058126507,-139278.50453125,-140499.22747866184,-153468.45078125,-127713.37117980297,-179223.530382697,-178199.09375,3105.8125,1
1989-05-22,0.3646239936351776,0.3646239936351776,0.3646239936351776,0.3646239936351776,-178199.09375,0,11.965251586822186,-140373.3246875,-141977.6536069496,-155467.85703125,-128518.97352062748,-182416.7405418725,-170045.78125,8153.3125,1
1989-05-23,0.34794101119041443,0.34794101119041443,0.34794101119041443,0.34794101119041443,-170045.78125,0,28.68865167790593,-141312.84046875,-143078.36449491236,-156904.3015625,-130068.93762765944,-183739.66549734058,-170822.359375,-776.578125,0
1989-05-24,0.34953001141548157,0.34953001141548157,0.34953001141548157,0.34953001141548157,-170822.359375,0,30.973783852032465,-142198.01015625,-144166.3642941315,-158476.6359375,-132288.39283406327,-184664.8790409367,-173152.078125,-2329.71875,0
1989-05-25,0.354297012090683,0.354297012090683,0.354297012090683,0.354297012090683,-173152.078125,0,29.914393203741565,-143141.42546875,-145303.05895416555,-160087.82109375,-134486.94465182043,-185688.6975356796,-175481.328125,-2329.25,0
